iter 329: loss 2.3522, time 26.10ms, mfu 0.04%
iter 330: loss 2.4100, time 22.87ms, mfu 0.04%
iter 331: loss 2.3830, time 28.68ms, mfu 0.04%
iter 332: loss 2.3306, time 27.83ms, mfu 0.04%
iter 333: loss 2.3351, time 27.88ms, mfu 0.04%
iter 334: loss 2.3739, time 27.72ms, mfu 0.04%
iter 335: loss 2.3696, time 27.06ms, mfu 0.04%
iter 336: loss 2.3711, time 26.24ms, mfu 0.04%
iter 337: loss 2.3914, time 28.67ms, mfu 0.04%
iter 338: loss 2.3918, time 26.72ms, mfu 0.04%
iter 339: loss 2.3990, time 31.66ms, mfu 0.04%
iter 340: loss 2.3560, time 32.73ms, mfu 0.04%
iter 341: loss 2.4403, time 27.71ms, mfu 0.04%
iter 342: loss 2.4555, time 31.62ms, mfu 0.03%
iter 343: loss 2.3771, time 28.42ms, mfu 0.03%
iter 344: loss 2.4256, time 27.97ms, mfu 0.03%
iter 345: loss 2.4041, time 27.61ms, mfu 0.03%
iter 346: loss 2.4074, time 28.56ms, mfu 0.03%
iter 347: loss 2.3612, time 27.16ms, mfu 0.04%
iter 348: loss 2.3682, time 28.88ms, mfu 0.03%
iter 349: loss 2.4552, time 30.28ms, mfu 0.03%
iter 350: loss 2.3760, time 26.38ms, mfu 0.04%
iter 351: loss 2.2907, time 30.29ms, mfu 0.03%
iter 352: loss 2.3946, time 30.94ms, mfu 0.03%
iter 353: loss 2.3327, time 33.37ms, mfu 0.03%
iter 354: loss 2.3853, time 30.98ms, mfu 0.03%
iter 355: loss 2.3814, time 33.81ms, mfu 0.03%
iter 356: loss 2.3320, time 33.25ms, mfu 0.03%
iter 357: loss 2.4532, time 32.42ms, mfu 0.03%
iter 358: loss 2.3419, time 30.00ms, mfu 0.03%
iter 359: loss 2.4014, time 26.47ms, mfu 0.03%
iter 360: loss 2.3997, time 26.40ms, mfu 0.03%
iter 361: loss 2.3320, time 29.03ms, mfu 0.03%
iter 362: loss 2.4078, time 25.55ms, mfu 0.03%
iter 363: loss 2.4174, time 33.81ms, mfu 0.03%
iter 364: loss 2.3179, time 34.83ms, mfu 0.03%
iter 365: loss 2.3985, time 36.97ms, mfu 0.03%
iter 366: loss 2.4755, time 29.32ms, mfu 0.03%
iter 367: loss 2.3814, time 27.42ms, mfu 0.03%
iter 368: loss 2.3482, time 33.20ms, mfu 0.03%
iter 369: loss 2.4250, time 29.61ms, mfu 0.03%
iter 370: loss 2.5037, time 32.72ms, mfu 0.03%
iter 371: loss 2.4052, time 25.37ms, mfu 0.03%
iter 372: loss 2.3921, time 26.58ms, mfu 0.03%
iter 373: loss 2.2988, time 27.47ms, mfu 0.03%
iter 374: loss 2.4126, time 28.36ms, mfu 0.03%
iter 375: loss 2.3513, time 30.79ms, mfu 0.03%
iter 376: loss 2.3730, time 27.75ms, mfu 0.03%
iter 377: loss 2.3510, time 28.77ms, mfu 0.03%
iter 378: loss 2.3282, time 28.16ms, mfu 0.03%
iter 379: loss 2.3505, time 34.37ms, mfu 0.03%
iter 380: loss 2.3637, time 30.13ms, mfu 0.03%
iter 381: loss 2.3456, time 30.84ms, mfu 0.03%
iter 382: loss 2.4804, time 28.22ms, mfu 0.03%
iter 383: loss 2.3204, time 28.42ms, mfu 0.03%
iter 384: loss 2.3200, time 26.58ms, mfu 0.03%
iter 385: loss 2.2882, time 26.34ms, mfu 0.03%
iter 386: loss 2.3353, time 29.74ms, mfu 0.03%
