iter 321: loss 2.4232, time 17.96ms, mfu 0.03%
iter 322: loss 2.4662, time 19.22ms, mfu 0.03%
iter 323: loss 2.4384, time 17.41ms, mfu 0.03%
iter 324: loss 2.3955, time 19.20ms, mfu 0.03%
iter 325: loss 2.3580, time 18.10ms, mfu 0.03%
iter 326: loss 2.4676, time 18.73ms, mfu 0.03%
iter 327: loss 2.4850, time 18.68ms, mfu 0.03%
iter 328: loss 2.3648, time 18.70ms, mfu 0.03%
iter 329: loss 2.4028, time 18.94ms, mfu 0.03%
iter 330: loss 2.4067, time 18.90ms, mfu 0.03%
iter 331: loss 2.3968, time 18.76ms, mfu 0.03%
iter 332: loss 2.3306, time 18.20ms, mfu 0.03%
iter 333: loss 2.4062, time 18.55ms, mfu 0.03%
iter 334: loss 2.3752, time 19.32ms, mfu 0.03%
iter 335: loss 2.4389, time 18.08ms, mfu 0.03%
iter 336: loss 2.4067, time 18.40ms, mfu 0.03%
iter 337: loss 2.3748, time 19.07ms, mfu 0.03%
iter 338: loss 2.4406, time 19.04ms, mfu 0.03%
iter 339: loss 2.3221, time 18.27ms, mfu 0.03%
iter 340: loss 2.3550, time 19.00ms, mfu 0.03%
iter 341: loss 2.4463, time 18.66ms, mfu 0.03%
iter 342: loss 2.4508, time 19.23ms, mfu 0.03%
iter 343: loss 2.3417, time 19.07ms, mfu 0.03%
iter 344: loss 2.4013, time 19.18ms, mfu 0.03%
iter 345: loss 2.4814, time 18.76ms, mfu 0.03%
iter 346: loss 2.4496, time 18.35ms, mfu 0.03%
iter 347: loss 2.3878, time 19.82ms, mfu 0.03%
iter 348: loss 2.3875, time 17.97ms, mfu 0.03%
iter 349: loss 2.4174, time 18.26ms, mfu 0.03%
iter 350: loss 2.3393, time 17.67ms, mfu 0.03%
iter 351: loss 2.3466, time 17.97ms, mfu 0.03%
iter 352: loss 2.3327, time 17.57ms, mfu 0.03%
iter 353: loss 2.3443, time 18.39ms, mfu 0.03%
iter 354: loss 2.4449, time 19.06ms, mfu 0.03%
iter 355: loss 2.2722, time 16.54ms, mfu 0.03%
iter 356: loss 2.3220, time 19.37ms, mfu 0.03%
iter 357: loss 2.3786, time 17.87ms, mfu 0.03%
iter 358: loss 2.2733, time 18.14ms, mfu 0.03%
iter 359: loss 2.3582, time 17.15ms, mfu 0.03%
iter 360: loss 2.4007, time 17.76ms, mfu 0.03%
iter 361: loss 2.3370, time 17.82ms, mfu 0.03%
iter 362: loss 2.3149, time 18.89ms, mfu 0.03%
iter 363: loss 2.4016, time 17.70ms, mfu 0.03%
iter 364: loss 2.3705, time 19.11ms, mfu 0.03%
iter 365: loss 2.4066, time 17.69ms, mfu 0.03%
iter 366: loss 2.3629, time 18.08ms, mfu 0.03%
iter 367: loss 2.4113, time 18.53ms, mfu 0.03%
iter 368: loss 2.3668, time 18.83ms, mfu 0.03%
iter 369: loss 2.4149, time 19.53ms, mfu 0.03%
iter 370: loss 2.3676, time 17.78ms, mfu 0.03%
iter 371: loss 2.4548, time 19.57ms, mfu 0.03%
iter 372: loss 2.3314, time 18.19ms, mfu 0.03%
iter 373: loss 2.4054, time 18.49ms, mfu 0.03%
iter 374: loss 2.4374, time 17.95ms, mfu 0.03%
iter 375: loss 2.4197, time 17.98ms, mfu 0.03%
iter 376: loss 2.3227, time 19.27ms, mfu 0.03%
iter 377: loss 2.3445, time 18.18ms, mfu 0.03%
iter 378: loss 2.3690, time 18.27ms, mfu 0.03%
iter 379: loss 2.4370, time 18.50ms, mfu 0.03%
iter 380: loss 2.3742, time 18.66ms, mfu 0.03%
iter 381: loss 2.4271, time 17.81ms, mfu 0.03%
iter 382: loss 2.3441, time 18.81ms, mfu 0.03%
iter 383: loss 2.4132, time 18.33ms, mfu 0.03%
iter 384: loss 2.3878, time 18.09ms, mfu 0.03%
iter 385: loss 2.3988, time 18.78ms, mfu 0.03%
iter 386: loss 2.3695, time 18.01ms, mfu 0.03%
iter 387: loss 2.3536, time 17.97ms, mfu 0.03%
iter 388: loss 2.4478, time 18.58ms, mfu 0.03%
iter 389: loss 2.3243, time 18.46ms, mfu 0.03%
iter 390: loss 2.3540, time 17.81ms, mfu 0.03%
iter 391: loss 2.3705, time 19.15ms, mfu 0.03%
iter 392: loss 2.3454, time 18.80ms, mfu 0.03%
iter 393: loss 2.3879, time 18.81ms, mfu 0.03%
iter 394: loss 2.3596, time 17.33ms, mfu 0.03%
iter 395: loss 2.3262, time 17.90ms, mfu 0.03%
iter 396: loss 2.2989, time 18.23ms, mfu 0.03%
iter 397: loss 2.3730, time 17.87ms, mfu 0.03%
iter 398: loss 2.4255, time 19.13ms, mfu 0.03%
iter 399: loss 2.3455, time 17.57ms, mfu 0.03%
iter 400: loss 2.3671, time 19.75ms, mfu 0.03%
iter 401: loss 2.3305, time 18.54ms, mfu 0.03%
iter 402: loss 2.3713, time 18.75ms, mfu 0.03%
iter 403: loss 2.3678, time 17.94ms, mfu 0.03%
iter 404: loss 2.3026, time 18.61ms, mfu 0.03%
iter 405: loss 2.3702, time 20.38ms, mfu 0.03%
iter 406: loss 2.3682, time 18.11ms, mfu 0.03%
iter 407: loss 2.3526, time 18.24ms, mfu 0.03%
iter 408: loss 2.3330, time 18.26ms, mfu 0.03%
iter 409: loss 2.2950, time 18.40ms, mfu 0.03%
iter 410: loss 2.3411, time 15.47ms, mfu 0.03%
iter 411: loss 2.3218, time 18.81ms, mfu 0.03%
iter 412: loss 2.3537, time 18.51ms, mfu 0.03%
iter 413: loss 2.3293, time 17.91ms, mfu 0.03%
iter 414: loss 2.3155, time 17.99ms, mfu 0.03%
iter 415: loss 2.2962, time 17.50ms, mfu 0.03%
iter 416: loss 2.2981, time 18.59ms, mfu 0.03%
iter 417: loss 2.3511, time 18.05ms, mfu 0.03%
iter 418: loss 2.3201, time 20.23ms, mfu 0.03%
iter 419: loss 2.2781, time 18.43ms, mfu 0.03%
iter 420: loss 2.3706, time 19.70ms, mfu 0.03%
iter 421: loss 2.3377, time 18.55ms, mfu 0.03%
iter 422: loss 2.3769, time 17.66ms, mfu 0.03%
iter 423: loss 2.2473, time 17.31ms, mfu 0.03%
iter 424: loss 2.3509, time 18.71ms, mfu 0.03%
iter 425: loss 2.3320, time 19.00ms, mfu 0.03%
